,codigo_trecho,vl_km_inic,vl_km_fina,vl_extensa,VMDa_C,VMDa_D,ds_sup_fed,GEH,acidentes_sem_vitima,acidentes_com_vitima,acidentes_com_mortos,acidentes_totais,UPS_medio,UPS_max,UPS_min,VDM,ICA_medio,ICA_max,ICA_min,tipo_pista,tipo_area,tipo_terreno
2386,376BPR0270,242.0,246.3,4.3,2686.0,2627.0,PAV,,4.0,10.0,1.0,15.0,22.333333333333332,39.0,10.0,3795.0,5.558333333333334,6.626,4.938,Simples,Rural,Montanhoso
2387,376BPR0275,246.3,263.2,16.9,2715.0,2625.0,PAV,,6.0,22.0,3.0,31.0,11.923076923076923,46.0,1.0,3766.0,5.886076923076923,8.035,4.938,Simples,Rural,Ondulado
2388,376BPR0280,263.2,286.4,23.2,3500.0,3658.0,PAV,A,5.0,11.0,0.0,16.0,6.0,11.0,1.0,5919.0,5.3576999999999995,8.035,4.938,Simples,Rural,Ondulado
2389,376BPR0285,286.4,291.0,4.6,2796.0,3148.0,PAV,,0.0,3.0,0.0,3.0,15.0,15.0,15.0,4755.0,4.938,4.938,4.938,Simples,Rural,Ondulado
2390,376BPR0290,291.0,291.8,0.8,3642.0,3212.0,PAV,,0.0,1.0,0.0,1.0,5.0,5.0,5.0,4664.0,4.938,4.938,4.938,Simples,Rural,Ondulado
2391,376BPR0293,291.8,304.0,12.2,3642.0,3212.0,DUP,,7.0,25.0,2.0,34.0,17.555555555555557,45.0,1.0,4664.0,2.2851111111111115,2.41,2.237,Dupla,Rural,Ondulado
2392,376BPR0295,304.0,325.6,21.6,3642.0,3212.0,PAV,,9.0,41.0,6.0,56.0,20.857142857142858,57.0,5.0,4664.0,5.220571428571428,5.346,4.938,Simples,N/A,Montanhoso
2393,376BPR0300,325.6,345.9,20.3,3642.0,3212.0,PAV,,6.0,20.0,1.0,27.0,9.916666666666666,39.0,1.0,4664.0,5.399583333333333,8.035,4.938,Simples,Rural,Ondulado
2394,376BPR0310,345.9,379.6,33.7,3792.0,3359.0,PAV,,7.0,21.0,7.0,35.0,10.15,26.0,1.0,4834.0,5.407500000000001,8.035,4.938,Simples,Rural,Ondulado
2395,376BPR0330,379.6,404.1,24.5,5709.0,5269.0,PAV,,10.0,27.0,5.0,42.0,14.0,36.0,1.0,7345.0,5.478666666666666,8.035,4.938,Simples,Rural,Ondulado
2396,376BPR0340,404.1,423.5,19.4,6151.0,6236.0,PAV,,10.0,18.0,3.0,31.0,10.692307692307692,28.0,1.0,8491.0,5.211307692307693,7.799,4.938,Simples,Rural,Ondulado
2397,376BPR0350,423.5,433.2,9.7,6151.0,6236.0,PAV,,7.0,14.0,0.0,21.0,25.666666666666668,75.0,1.0,8491.0,5.21,5.346,4.938,Simples,N/A,Montanhoso
2398,376BPR0370,433.2,468.9,35.7,6401.0,6541.0,PAV,A,20.0,52.0,6.0,78.0,14.32,82.0,1.0,8965.0,5.278160000000001,8.035,4.938,Simples,Rural,Ondulado
2399,376BPR0400,480.4,490.9,10.5,12861.0,12691.0,DUP,,14.0,20.0,1.0,35.0,42.333333333333336,65.0,12.0,21633.0,4.874666666666667,4.971,4.682,Dupla,Urbana,Plano
2400,376BPR0410,490.9,498.5,7.6,11107.0,11507.0,DUP,,20.0,28.0,2.0,50.0,26.571428571428573,41.0,7.0,19853.0,4.8058571428571435,4.971,4.682,Dupla,Urbana,Ondulado
2401,376BPR0415,498.5,506.9,8.4,11109.0,11506.0,DUP,,10.0,11.0,1.0,22.0,11.142857142857142,20.0,5.0,19853.0,4.028857142857143,4.971,2.237,Dupla,Urbana,Ondulado
2402,376BPR0420,506.9,547.5,40.6,11109.0,11506.0,DUP,A,19.0,38.0,6.0,63.0,12.478260869565217,51.0,1.0,19853.0,2.260913043478261,2.41,2.237,Dupla,Rural,Plano
2403,376BPR0430,554.5,563.2,8.7,16246.0,,PAV,,0.0,1.0,0.0,1.0,5.0,5.0,5.0,13919.0,5.111,5.111,5.111,Simples,Rural,Plano
2404,376BPR0480,617.1,647.2,30.1,18674.0,18621.0,DUP,A,26.0,82.0,3.0,111.0,18.26923076923077,51.0,1.0,34276.0,2.748346153846154,4.971,2.237,Dupla,Rural,Plano
2405,376BPR0490,647.2,684.8,37.6,17196.0,17000.0,DUP,,40.0,100.0,6.0,146.0,18.176470588235293,57.0,1.0,30407.0,2.424205882352941,4.971,2.237,Dupla,Rural,Plano
2406,381BMG0100,5.4,11.5,6.1,2166.0,1880.0,PLA,,0.0,2.0,0.0,2.0,5.0,5.0,5.0,4190.0,7.330500000000001,8.035,6.626,Simples,Urbana,Montanhoso
2407,381BMG0155,145.7,148.0,2.3,2733.0,2648.0,PAV,,0.0,3.0,0.0,3.0,15.0,15.0,15.0,7636.0,8.035,8.035,8.035,Simples,Urbana,Ondulado
2408,381BMG0160,148.0,157.0,9.0,3597.0,3559.0,PAV,,1.0,9.0,2.0,12.0,14.4,36.0,5.0,7691.2,7.940600000000001,8.035,7.799,Simples,Urbana,Ondulado
2409,381BMG0170,157.0,196.2,39.2,3633.0,3583.0,PAV,A,6.0,17.0,7.0,30.0,8.272727272727273,26.0,1.0,7133.863636363636,5.210181818181818,7.799,4.938,Simples,Rural,Plano
2410,381BMG0180,196.2,221.7,25.5,2402.0,2651.0,PAV,,2.0,16.0,1.0,19.0,7.916666666666667,28.0,1.0,5348.5,5.550999999999999,8.035,4.938,Simples,Rural,Ondulado
2411,381BMG0185,221.7,224.3,2.6,3060.0,3316.0,DUP,,3.0,21.0,1.0,25.0,8.642857142857142,20.0,1.0,6354.785714285715,5.5463571428571425,8.035,4.938,Simples,Rural,Montanhoso
2412,381BMG0190,246.4,248.1,1.7,3061.0,3317.0,DUP,,0.0,1.0,0.0,1.0,5.0,5.0,5.0,6955.0,4.682,4.682,4.682,Dupla,Urbana,Ondulado
2413,381BMG0210,248.1,253.5,5.4,4525.0,4907.0,DUP,,0.0,5.0,0.0,5.0,6.25,10.0,5.0,7070.5,4.754250000000001,4.971,4.682,Dupla,Urbana,Ondulado
2414,381BMG0230,263.3,269.2,5.9,3552.0,3680.0,PAV,,1.0,16.0,1.0,18.0,9.4,25.0,1.0,7391.3,6.0641,8.035,4.938,Simples,Rural,Ondulado
2415,381BMG0250,280.6,322.9,42.3,2849.5,2890.5,PAV,,9.0,34.0,4.0,47.0,8.884615384615385,33.0,1.0,4915.2692307692305,5.168615384615384,5.346,4.938,Simples,N/A,Montanhoso
2416,381BMG0275,323.3,343.7,20.4,1324.0,1496.5,PAV,,6.0,24.0,5.0,35.0,14.692307692307692,51.0,5.0,4157.846153846154,6.719615384615385,8.035,5.346,Simples,Urbana,Montanhoso
2417,381BMG0290,344.3,351.9,7.6,1867.0,2025.0,PAV,,15.0,56.0,7.0,78.0,14.296296296296296,47.0,1.0,13720.851851851852,6.050481481481482,8.035,4.938,Simples,Rural,Montanhoso
2418,381BMG0310,376.4,386.9,10.5,5116.0,5005.0,PAV,,2.0,21.0,2.0,25.0,14.777777777777779,25.0,5.0,16445.222222222223,5.312333333333333,6.626,4.938,Simples,Rural,Plano
2419,381BMG0330,386.9,393.5,6.6,6568.0,6282.0,PAV,,1.0,11.0,1.0,13.0,17.25,38.0,5.0,15307.0,5.04,5.346,4.938,Simples,Rural,Ondulado
2420,381BMG0335,393.5,423.5,30.0,6945.0,7494.0,PAV,,8.0,55.0,7.0,70.0,14.96,37.0,1.0,16339.36,5.3034799999999995,6.626,4.938,Simples,N/A,Montanhoso
2421,381BMG0350,423.5,432.5,9.0,9133.0,9389.0,PAV,,16.0,131.0,12.0,159.0,31.807692307692307,83.0,5.0,19497.30769230769,6.8170769230769235,8.035,4.938,Simples,Urbana,Ondulado
2422,381BMG0490,492.9,525.0,32.1,20830.333333333332,19399.0,DUP,A,41.0,204.0,7.0,252.0,38.4,104.0,6.0,22538.8,3.2476333333333334,4.971,2.237,Dupla,Rural,Ondulado
2423,381BMG0510,525.0,531.1,6.1,11678.0,13228.0,DUP,,2.0,5.0,0.0,7.0,9.0,11.0,6.0,15205.0,2.237,2.237,2.237,Dupla,Rural,Ondulado
